trip_id,arrival_time,departure_time,stop_id,stop_sequence
lacivert-ring-0,18:00:00,18:00:00,dogu_yurtlar-1,0
lacivert-ring-0,18:01:00,18:01:00,isbank-1,1
lacivert-ring-0,18:02:00,18:02:00,kkm-1,2
lacivert-ring-0,18:03:00,18:03:00,insaat-1,3
lacivert-ring-0,18:04:00,18:04:00,kimya-1,4
lacivert-ring-0,18:05:00,18:05:00,makina-1,5
lacivert-ring-0,18:06:00,18:06:00,endustri-1,6
lacivert-ring-0,18:07:00,18:07:00,yuva-1,7
lacivert-ring-0,18:08:00,18:08:00,mimarlik-1,8
lacivert-ring-0,18:09:00,18:09:00,teknokent-1,9
lacivert-ring-0,18:10:00,18:10:00,enformatik-1,10
lacivert-ring-0,18:11:00,18:11:00,odtukent-1,11
lacivert-ring-0,18:12:00,18:12:00,bati_yurtlar-1,12
lacivert-ring-0,18:13:00,18:13:00,havacilik-1,13
lacivert-ring-0,18:14:00,18:14:00,bati_yurtlar-2,14
lacivert-ring-0,18:15:00,18:15:00,odtukent-2,15
lacivert-ring-0,18:16:00,18:16:00,gida-1,16
lacivert-ring-0,18:17:00,18:17:00,jeoloji-1,17
lacivert-ring-0,18:18:00,18:18:00,kimya-2,18
lacivert-ring-0,18:19:00,18:19:00,insaat-2,19
lacivert-ring-0,18:20:00,18:20:00,ziraat-1,20
lacivert-ring-0,18:21:00,18:21:00,dogu_yurtlar-2,21
lacivert-ring-1,19:30:00,19:30:00,dogu_yurtlar-1,0
lacivert-ring-1,19:31:00,19:31:00,isbank-1,1
lacivert-ring-1,19:32:00,19:32:00,kkm-1,2
lacivert-ring-1,19:33:00,19:33:00,insaat-1,3
lacivert-ring-1,19:34:00,19:34:00,kimya-1,4
lacivert-ring-1,19:35:00,19:35:00,makina-1,5
lacivert-ring-1,19:36:00,19:36:00,endustri-1,6
lacivert-ring-1,19:37:00,19:37:00,yuva-1,7
lacivert-ring-1,19:38:00,19:38:00,mimarlik-1,8
lacivert-ring-1,19:39:00,19:39:00,teknokent-1,9
lacivert-ring-1,19:40:00,19:40:00,enformatik-1,10
lacivert-ring-1,19:41:00,19:41:00,odtukent-1,11
lacivert-ring-1,19:42:00,19:42:00,bati_yurtlar-1,12
lacivert-ring-1,19:43:00,19:43:00,havacilik-1,13
lacivert-ring-1,19:44:00,19:44:00,bati_yurtlar-2,14
lacivert-ring-1,19:45:00,19:45:00,odtukent-2,15
lacivert-ring-1,19:46:00,19:46:00,gida-1,16
lacivert-ring-1,19:47:00,19:47:00,jeoloji-1,17
lacivert-ring-1,19:48:00,19:48:00,kimya-2,18
lacivert-ring-1,19:49:00,19:49:00,insaat-2,19
lacivert-ring-1,19:50:00,19:50:00,ziraat-1,20
lacivert-ring-1,19:51:00,19:51:00,dogu_yurtlar-2,21
lacivert-ring-2,18:30:00,18:30:00,dogu_yurtlar-1,0
lacivert-ring-2,18:31:00,18:31:00,isbank-1,1
lacivert-ring-2,18:32:00,18:32:00,kkm-1,2
